,id,album_id,album_name,duration_ms,popularity,track_name,artists,msPlayed,endTime,release_date,genres
131,6DQ0d8YVCs0wi1zHN0fedq,1jXegZ2mzIXJZHjlaD9NLf,About Coming and Leaving,127774,45,About Coming and Leaving,['Nils Frahm'],121855,2023-01-06 17:23,2021-03-10,[]
132,4wZWEuu89nlc6KVJgECTqx,1tbDmFJsaVNXDnatUzChs4,Zaupanje,145000,58,Zaupanje,['Valbona Ceferin'],142437,2023-01-06 17:26,2022-04-29,[]
133,3R0TQ0CK1KPse8hizZz476,6P0cJjPi0SSUPXX8rv3s9t,Castor / Pollux,142379,40,Pollux,['S.A. Karl'],136546,2023-01-06 17:28,2019-06-07,[]
134,73WwLsqz0sZQucwkeyybus,6ST5jKASoHoEU1T7pgq5cE,The Midnight Sun,178588,58,The Midnight Sun,['Hakone'],170744,2023-01-06 17:31,2022-05-20,[]
135,30HCB1FoE77IfGRyNv4eFq,2guirTSEqLizK7j9i1MTTZ,Nevermind (Remastered),255080,69,In Bloom,['Nirvana'],160274,2023-01-06 17:33,1991-09-26,[]
136,2aLgFG14lYLiV8YYziZI7Q,1l3v5h34S4SMNKFblH6pkr,Letting Go,181792,58,Letting Go,['Ron Adelaar'],176630,2023-01-06 17:36,2022-05-06,[]
137,4OI6jrwpj1xkejfp6R5uj2,4GbaledvjJ39zGpUtwB3pT,Pale Horizon,144770,58,"Hana, My Love",['Spencer Zahn'],132484,2023-01-06 17:38,2022-05-13,[]
138,6rvLFPlMaxi0kVdBJDdbUQ,4q5qxUovkv7VjfOfkLzHOU,Gaia (The Shape Of Piano To Come Vol. I),242924,23,Gaia - The Shape Of Piano To Come Vol. I,['Angel Ruediger'],213892,2023-01-06 17:42,2020-10-12,[]
139,5M9WoeUS6hg8b1YRWMFx0M,1kXMEkViaETUcA6KQNXuv4,Rannoch Moor,116000,41,Rannoch Moor,['Quinn MacKenzie'],112319,2023-01-06 17:44,2020-02-28,[]
140,2iOeUalTtkixjGZbwkEiGd,5o4AGZzBjLYVNupbR9GZFE,Monmartre,101579,42,Monmartre,['Serouj'],99774,2023-01-06 17:45,2019-01-29,[]
141,7jCRVvGKxzAMWDqIiW2T53,39pSeV5BLaPnUAQUtx6ww1,Preludes,139771,49,City Prelude,['Julius Nilsson'],137728,2023-01-06 17:48,2022-12-01,[]
142,31dgOyBLg64GEgdbsBjwXy,39eaolcUiLPvOYBVwfgIEx,The Blue Hour,285309,42,My Piano Night,['Federico Albanese'],262345,2023-01-06 17:52,2016-01-15,[]
143,2ITf0bqgdjdjFIwoVyJW7r,7CpCr4dd0czgA82c8BY8bc,Valzer della quiete,236000,26,Valzer della quiete,['Aiden Button'],226446,2023-01-06 17:56,2021-01-22,[]
144,5R1Bs4CW8kDoVFZpeuTQiy,2UF3PeBmkML3yJdCLVlclD,Golden Skies,72074,51,Kind Soul,"['Edwin Pearson', 'Peter Delafose', 'Fomadd']",195073,2023-01-06 17:59,2021-07-19,[]
145,2p5THyuNwpJ9c7ex3TN383,0nz4s5aDqAOYKdbogoo15X,Nowesind,119120,65,Nowesind,['Jacob David'],119120,2023-01-06 18:01,2022-02-25,[]
146,1sINJB2tVaHV5r3iKCACHv,3XJLsmXh2yyehGaUn0FWDC,Reframe,127109,59,Reframe,['Norman Dück'],127109,2023-01-06 18:03,2022-04-08,[]
147,1JQ6Xm1JrvHfvAqhl5pwaA,2tzbNCAUTmW4MIM2Ulvrwl,Commodores,256426,75,Easy,['Commodores'],4090,2023-01-06 18:09,1977-01-01,[]
148,0qemIQjSxcKyf42VPfZnfa,4vAhQeeWkSjVn0p5GAaLBx,How Can You Mend A Broken Heart,212800,74,"Night Fever - From ""Saturday Night Fever"" Soundtrack",['Bee Gees'],212800,2023-01-06 18:09,2020-12-11,[]
149,14Hg8gKCCboRLw0yXpcrMV,6siJjSXj7shJrMIKY1yMzE,Sweet Harmony,162310,60,Sweet Harmony,"['Plastik Funk', 'Dario Trapani', 'Ivan Cappello', 'Sh3']",4827,2023-01-06 18:09,2022-01-21,[]
150,3ZSqMer9RLSglvi18bWXYV,1PjYHybPrB6rU3qABrNldm,Berlin Calling (The Soundtrack by Paul Kalkbrenner),230500,68,Sky and Sand,"['Paul Kalkbrenner', 'Fritz Kalkbrenner']",230500,2023-01-06 18:13,2013-07-12,[]
151,5vmRQ3zELMLUQPo2FLQ76x,6OMYQUITdN6wBaWfEtgooI,The Age of Consent,302413,74,Smalltown Boy,['Bronski Beat'],302413,2023-01-06 18:18,1984-10-15,[]
152,5ubvP9oKmxLUVq506fgLhk,4vAhQeeWkSjVn0p5GAaLBx,How Can You Mend A Broken Heart,285373,80,Stayin Alive,['Bee Gees'],285373,2023-01-06 18:23,2020-12-11,[]
153,2tHiQoEBpbwpoPJQ435LJ8,7yph4dnSdjHs2ke5ZZU2Lu,Dedicated To The Moon,290866,20,Easy Lady,['Ivana Spagna'],71611,2023-01-06 18:24,1998-04-07,[]
